,gmDate,gmTime,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,team2PA,team2PM,team3PA,team3PM,teamFTA,teamFTM,teamORB,teamDRB,teamPTS1,teamPTS2,teamPTS3,teamPTS4,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,oppt2PA,oppt2PM,oppt3PA,oppt3PM,opptFTA,opptFTM,opptORB,opptDRB,opptPTS1,opptPTS2,opptPTS3,opptPTS4
57,2016-10-29,07:30,NY,East,Atlantic,Home,Win,3,111,24,13,4,4,25,76,40,55,34,21,6,39,25,6,35,32,25,25,29,MEM,West,Southwest,Away,Loss,2,104,19,12,3,2,30,86,37,61,28,25,9,26,21,11,29,19,30,28,27
58,2016-10-29,08:00,IND,East,Central,Away,Loss,1,101,34,13,8,7,16,88,43,70,36,18,7,9,8,8,25,20,21,26,34,CHI,East,Central,Home,Win,2,118,34,12,8,6,14,86,45,65,36,21,9,21,19,13,34,24,38,30,26
59,2016-10-29,08:00,CHI,East,Central,Home,Win,2,118,34,12,8,6,14,86,45,65,36,21,9,21,19,13,34,24,38,30,26,IND,East,Central,Away,Loss,1,101,34,13,8,7,16,88,43,70,36,18,7,9,8,8,25,20,21,26,34
60,2016-10-29,08:00,BKN,East,Atlantic,Away,Loss,1,108,23,18,12,6,22,84,37,49,26,35,11,28,23,11,34,18,23,32,35,MIL,East,Central,Home,Win,3,110,25,14,14,5,24,88,41,66,33,22,8,24,20,9,36,24,22,34,30
61,2016-10-29,08:00,MIL,East,Central,Home,Win,3,110,25,14,14,5,24,88,41,66,33,22,8,24,20,9,36,24,22,34,30,BKN,East,Atlantic,Away,Loss,1,108,23,18,12,6,22,84,37,49,26,35,11,28,23,11,34,18,23,32,35
62,2016-10-29,08:00,NO,West,Southwest,Away,Loss,0,79,14,10,6,5,19,86,32,64,28,22,4,15,11,7,38,23,22,15,19,SA,West,Southwest,Home,Win,1,98,21,10,6,7,15,83,35,59,25,24,10,23,18,6,44,28,27,28,15
63,2016-10-29,08:00,SA,West,Southwest,Home,Win,1,98,21,10,6,7,15,83,35,59,25,24,10,23,18,6,44,28,27,28,15,NO,West,Southwest,Away,Loss,0,79,14,10,6,5,19,86,32,64,28,22,4,15,11,7,38,23,22,15,19
64,2016-10-29,09:00,POR,West,Northwest,Away,Win,1,115,23,16,10,8,30,98,45,66,35,32,10,21,15,5,40,33,29,19,23,DEN,West,Northwest,Home,Loss,3,113,19,17,10,5,21,100,38,77,32,23,6,39,31,16,45,28,26,34,16
65,2016-10-29,09:00,DEN,West,Northwest,Home,Loss,3,113,19,17,10,5,21,100,38,77,32,23,6,39,31,16,45,28,26,34,16,POR,West,Northwest,Away,Win,1,115,23,16,10,8,30,98,45,66,35,32,10,21,15,5,40,33,29,19,23
66,2016-10-29,10:30,MIN,West,Northwest,Away,Loss,3,103,19,14,5,5,25,72,37,50,30,22,7,31,22,9,29,34,31,12,26,SAC,West,Pacific,Home,Win,2,106,24,13,6,5,24,85,39,59,30,26,9,25,19,11,20,25,29,31,21
